category,source_name,url,primary_use,priority
cooling,Vertiv 2026 AI Liquid Cooling Outlook,https://www.vertiv.com/en-emea/about/news-and-events/news-releases/2026/vertiv-expects-powering-up-for-ai-digital-twins-and-adaptive-liquid-cooling-to-shape-data-center-design-and-operations/,Adaptive liquid cooling and AI data center design trends,medium
cooling,Schneider Direct-to-Chip Cooling,https://blog.se.com/datacenter/2026/01/16/rethinking-data-center-cooling-ai-direct-to-chip-liquid-cooling/,Single-phase direct-to-chip liquid cooling for AI and HPC,medium
networking,Arista 1.6T AI Fabric Portfolio,https://www.arista.com/en/company/news/press-release/24102-pr-20260609,Rack-scale AI fabric and Ethernet roadmap,high
optics,Coherent OFC 2026 Optical Portfolio,https://www.coherent.com/news/press-releases/coherent-demonstrates-next-gen-pluggable-transceiver-ofc-2026,1.6T 3.2T and 12.8T optical roadmap,high
policy,CHIPS for America,https://www.chips.gov/,US semiconductor incentives and advanced packaging programs,medium
benchmark,MLPerf Inference v5.0,https://mlcommons.org/2025/04/mlperf-inference-v5-0-results/,Generative AI inference benchmark direction,high
energy,IEA Energy and AI,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,Data center electricity demand scenarios,high
energy,IEA AI and Energy Security,https://www.iea.org/reports/energy-and-ai/ai-and-energy-security,Grid connection delay and energy security constraints,high
liquidity,BIS Financing the AI Boom,https://www.bis.org/publ/bisbull120.pdf,AI financing shift from cash flow to debt and private credit,high
paper,ICLR 2025 Test-Time Compute,https://proceedings.iclr.cc/paper_files/paper/2025/file/1b623663fd9b874366f3ce019fdfdd44-Paper-Conference.pdf,Inference-time scaling and compute demand,high
paper,FlashAttention-3,https://arxiv.org/abs/2407.08608,Attention memory traffic and FP8 efficiency,high
paper,DeepSeek-V3 Technical Report,https://arxiv.org/abs/2412.19437,MoE MLA FP8 and cost-effective training,high
paper,KIVI KV Cache Quantization,https://arxiv.org/abs/2402.02750,KV cache compression and HBM pressure,high
paper,vLLM PagedAttention,https://arxiv.org/abs/2309.06180,LLM serving memory management and throughput,high
